Województwa,Ogółem,Mężczyźni,Kobiety
Ogółem,"2455,0","1222,8","1232,2"
Dolnośląskie,"231,6","113,7","117,9"
Kujawsko-pomorskie,"130,0","67,2","62,8"
Lubelskie,"135,8","66,6","69,2"
Lubuskie,"76,5","37,8","38,7"
Łódzkie,"90,8","45,8","45,0"
Małopolskie,"224,3","111,8","112,5"
Mazowieckie,"171,9","84,2","87,7"
Opolskie,"138,2","67,4","70,8"
Podkarpackie,"214,2","107,2","107,0"
Podlaskie,"132,0","65,2","66,8"
Pomorskie,"162,7","81,1","81,6"
Śląskie,"278,6","137,1","141,4"
Świętokrzyskie,"76,1","38,0","38,1"
Warmińsko-mazurskie,"130,5","65,7","64,8"
Wielkopolskie,"131,0","66,4","64,6"
Zachodniopomorskie,"131,0","67,6","63,4"