age,all,men,woman
all,"2515,0","1249,8","1265,2"
  0-4 lata  ,"86,2","45,3","41,0"
   5-9,"97,5","50,5","47,0"
 10-14,"90,6","46,7","44,0"
15-19,"86,2","43,8","42,5"
20-24,"146,9","72,6","74,2"
25-29,"261,9","126,6","135,2"
30-34,"391,5","188,9","202,6"
35-39,"362,4","183,6","178,9"
40-44,"248,6","128,9","119,7"
45-49,"181,7","93,3","88,3"
50-54,"170,6","86,7","83,9"
55-59,"155,2","78,0","77,2"
60-64,"105,5","51,1","54,4"
65-69,"54,0","25,4","28,6"
70-74,"26,5","11,2","15,3"
75+,"49,7","17,2","32,5"